zoningdistrict2edm,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,count
,R6,R2,,,1
,R5B,R6A,R5D,,1
,M1-4/R7A,M1-5/R8A,,,1
,R8,C6-2,,,7
,R6A,M1-2/R6A,,,7
,R1-1,R3X,,,1
,M1-6,C6-3X,,,1
,C4-5X,R6A,,,10
,C6-3A,C6-1G,,,3
,R3-2,R1-2,,,6
,R8B,R4-1,,,6
,R8,R9A,,,2
,C8-1,R5D,,,1
,R1-2A,R5B,,,6
,R6,C5-2,,,5
,M1-2/R6,R6A,,,2
,R2,R7A,,,9
R3X,M1-1,,,,1
,C5-1A,R10,,,2
,R4A,R3-2,,,15
,R7B,R6,,,5
,M2-1,M1-1,,,13
,C4-2,M1-2,,,1
,R3-2,M3-1,,,1
,R6A,R2X,,,4
,C1-9,R10,R8B,,1
,R10,C1-9,,,1
,R7A,R6B,,,272
,R7A,R8,,,6
,C6-4,C6-4M,C6-1,,1
,C6-2A,R8A,,,3
,C4-4,R2,,,1
,C6-4M,C6-2A,,,4
,R5,C8-1,R7-1,,1
,R3-2,R2,,,87
,M1-2/R6A,M1-2/R5D,M1-2/R5B,,2
,C4-5D,R7-1,,,1
R3X,R3-2,,,,27
,R7A,R5B,R6B,,1
,R10A,C4-6A,,,5
R3-2,R5,,,,2
,C4-4A,C4-3,R6B,,1
,R4,R2A,,,50
,R10H,C5-2.5,,,1
,R2A,R3-1,,,48
,M1-1,C4-2,,,2
,R4A,R7B,,,1
,R6A,R7A,R6B,,1
,M1-1,C4-4,,,4
,R7-2,R7X,,,1
,R6A,R4-1,,,225
,R7-1,C4-5X,,,2
,R6A,C4-4A,R7A,,1
R3X,PARK,,,,27
,C6-7T,C6-5.5,,,5
,M3-1,M1-2,,,15
M1-1,R3X,,,,5
,R4-1,R4A,,,131
,R3X,R4,,,26
,C6-3X,R8,,,1
,M1-5,C6-4,,,3
,R7X,R7-1,,,5
,R5A,R5,,,15
,R8,C6-6,,,1
,C6-2,C6-3,,,10
,R8A,R7D,R7A,,1
,C6-7,C6-6,,,3
,R8X,R7A,,,5
,R7B,R7X,,,9
,R4B,R4A,,,23
,R4,R5D,R6A,,1
,R10A,C4-7,,,2
,M1-1,R4A,,,14
,R4-1,C8-2,,,2
,R7-2,C6-2,,,3
,C6-3A,C6-1,,,12
,R4,C4-4A,,,2
,R7-2,M1-5B,,,1
,C1-7,C6-1,R7-2,,1
,C1-9,C2-8,R7-2,,1
,R7-2,C8-4,,,2
,M1-1,M1-1,,,1
,M1-2,C4-4,,,1
,M1-4/R7X,M1-4/R7A,,,8
,C6-4A,C6-2A,,,10
,R3X,C4-2,,,1
,R9A,C6-4A,,,1
,R7A,R5A,R7B,,1
,C3A,R3-1,,,12
,R9A,R8A,,,1
,C4-4L,R6A,,,2
,R6A,R5B,R5D,,1
,C6-7T,C6-6.5,,,1
,R3-2,R6B,,,8
,R8B,C4-6A,,,10
,R5,R7B,R6B,,1
,C6-4,C2-8,,,1
,R6A,M1-5,,,1
,R1-1,R3-2,,,1
,R8,R7-2,,,34
,C6-2A,C6-4A,,,7
,R3X,C4-1,,,16
,R5A,R6B,,,12
,R4A,R4B,,,20
,R6B,R2,,,6
,M1-4/R7X,M1-4,,,5
,R6A,R1-2,,,5
,M1-6/R10,M1-5/R7-3,,,1
,R4,C3,,,8
,R3X,R6A,R5,,1
,C6-2,C6-2A,,,1
,R6A,C4-2A,,,3
,R2A,R1-2,,,31
,R6B,C8-2,,,2
,R5,C4-2,,,35
,M1-5A,R7-2,,,5
,C6-4,C6-2,,,10
R3X,C4-1,,,,2
,C8-1,R3-2,R4,,1
,C4-7,R6A,,,1
R3A,C4-1,,,,9
,R5D,C8-1,R4-1,,1
,C4-2,R3X,,,1
,C4-2A,R6A,,,5
,R7A,R6,R4-1,,1
,C8-1,R4,,,40
,R5D,R5A,,,5
,C4-2A,R6B,R4-1,,1
,R4,R4-1,,,220
,R8B,R9X,,,4
,R4-1,R4B,,,60
,R6,R6A,,,18
,R8,R6,M1-2,,1
,R6B,C4-5D,M1-1,,1
,M3-2,R10,,,1
,C6-4,R8,,,1
,R9X,R10A,,,1
,R5B,R3-1,,,1
,M1-4/R6B,R6A,,,1
,C2-8,R8B,,,46
,R3-1,R4-1,M1-1,C8-1,1
,M2-1,M3-1,,,15
,M1-4/R6B,R7X,,,12
,M2-1,R5,,,4
,R3X,C3,,,2
R3-1,R1-2,,,,4
,R4-1,R1-2,,,1
,C6-2M,C6-4A,,,1
,R7-1,C8-3,,,30
,R6,R3-2,,,9
,C4-2,C4-1,M1-1,,1
,R8B,R7A,R8A,,1
,C3,C4-2,,,1
M1-1,R3-2,,,,9
,C4-2A,R4B,,,2
,R6B,R6A,R7A,M1-4,1
,R6,M1-4/R7A,,,7
,R2,C3A,,,2
,R4B,R3X,,,7
,C5-1,R10H,,,5
,R3-1,R4A,,,2
,M1-4/R7A,R6,,,4
,R5D,R3-2,R4,,1
,R2,R1-1,,,3
,R5B,C4-4D,,,4
,M1-2/R6A,R5,,,1
,R7A,C8-2,,,2
,R4,R3A,,,57
,R8A,C2-8A,,,1
,R8B,C2-7A,,,6
,C2-8A,R8A,,,2
,R4,M2-1,,,4
,M1-2/R6,R6B,,,1
,R7A,M1-2,,,1
,R7A,M1-4,R6A,,1
,R6,C4-2,R7A,,1
,R6B,R4A,,,97
,R6B,C8-1,,,5
,R8A,R7B,,,8
,C6-4A,C2-8A,,,1
,R9,C4-6A,,,1
,R9A,C2-8A,,,1
,C5-3,C5-2.5,R8B,,1
,R4-1,R3A,,,13
,C4-2,C4-4A,R6A,,1
,C4-4A,R7A,,,61
,C4-5X,R7A,,,4
,R5,R3-1,,,23
,R2,C8-1,,,4
,R3A,R5B,R6B,,1
,C2-6,C1-6,,,6
,R6B,C4-2A,C4-3,,1
,R4B,R3-2,,,7
,R5A,R6,,,59
,M1-2/R8A,M1-2/R8,,,2
,R7B,C1-8A,,,1
M3-1,R4,,,,1
,C8-1,M1-2,,,2
,M1-4,R6A,R8A,,1
,M1-4/R7A,C4-5X,,,2
,R4,R5,R6B,,1
,C6-3X,C6-4X,,,1
,C6-6,C6-5.5,,,4
M1-1,M2-1,,,,2
,R6A,C1-6A,,,2
,R3X,R6A,R4,,1
,R3A,R4,C8-1,,1
,R3A,R3-2,M1-1,,1
,R3X,R7A,,,6
,C1-6A,R6A,,,1
,R8,R8B,R9A,,1
,R5B,R4A,,,70
,C5-2.5,C5-3,C6-6,,3
,C4-2,R3-2,,,1
,C6-2A,C6-4,,,3
,M1-4/R7A,M1-4/R7X,,,2
,R4,R2,,,17
,C6-1,R8X,,,2
,R7-2,R7B,,,1
,R7D,R6B,,,55
,R6B,R8A,,,25
,R9A,C2-8A,C6-4A,,1
,R5,R3-1,R6A,,1
,R7A,R6A,R4-1,,1
,R6A,R6B,R7A,,1
,C6-4,R6B,,,1
,R6,M1-3,,,7
,R8B,R4,,,1
,R8A,C6-3A,,,3
,R6,R8A,,,2
,C5-1,R10,R8B,,1
,C8-2,R5B,,,3
,C4-1,R3-2,,,3
,C6-4.5,C6-1,,,1
,C5-1,R8B,,,34
,C4-4A,C4-2A,R6B,,1
,R4,C3A,,,1
R3-2,R2,,,,23
,C5-3,C6-6.5,,,1
,R7A,R8B,,,74
,R6B,R7B,,,28
,R7D,C4-5D,,,1
,C6-1,C6-4,,,3
,C4-4A,R6A,M1-4/R7A,R5,1
,R5,C4-4A,,,19
,C6-4A,C4-5A,,,5
,R7A,R7D,R7B,,1
,C6-4,C6-2A,,,9
,C8-1,R7A,,,2
,R3-1,R7A,,,2
,M1-2/R6A,R6A,,,7
,R3-1,M1-1,,,3
R1-2,R3-2,,,,13
,R5,M1-4,R4-1,,1
,C4-5X,C4-4A,,,3
,C2-8A,R8B,,,5
,R8,R8B,,,33
,R5B,C4-2A,,,15
,M1-5,M1-6,,,1
,M1-2/R6A,R6,,,3
,M3-2,M1-2,,,1
,R4-1,R4,M1-1,M3-1,1
R3A,R5,,,,2
,C4-4A,C4-2,,,1
,C4-2,R6,,,20
,R7-2,R10A,,,5
,R6,C4-5X,,,1
,R10A,R8,,,25
,R7-2,C3,,,1
,R5,M1-1,R6B,,1
,R3A,R4B,,,8
,R6,C4-5,,,9
R3A,R1-2,,,,3
,M3-1,C4-4,,,1
M3-1,M1-1,,,,4
,R6,R5A,R5,,1
,R6A,R7-2,,,1
,C4-5X,M1-4/R7A,,,4
,C5-3,C6-6,C5-2.5,,1
,M1-6,C5-2,,,4
,R6A,R4B,,,6
,R4,M1-1,,,58
,R7A,R7-1,,,5
,R7-2,R6A,,,1
,M1-3/R7X,M1-2/R6A,,,4
,C6-2G,C6-1,,,8
,C6-2,C4-5X,,,5
,C6-2,R8,,,7
,C6-1G,C6-1,,,5
,R8B,C6-2A,C6-1,,1
,R6A,M1-4,,,1
,M1-2,M2-1,,,4
,C6-6,C1-9,,,1
,C6-6,C6-6.5,,,6
,C1-6A,R6,,,8
,M3-1,C3,,,1
,R5A,R6A,,,17
,C2-8,M1-4,,,1
,R5D,R5B,R4-1,,1
,C6-4.5,C5-3,,,5
,C5-2,M1-6,,,12
C4-2A,M1-1,,,,1
,R6B,R6A,C4-3A,,1
,R4A,C3A,,,1
,C6-4,C6-4A,,,2
,R1-2,R3X,,,26
,M1-4/R7A,R7-1,,,2
,C4-2,C4-2A,,,1
R1-2,R3X,,,,9
,C1-9,C6-1,,,1
,C5-3,C5-2,,,6
,C6-2,C4-7,,,1
,R6,C8-2,,,73
,C6-2G,C6-1G,,,6
,C1-9,R7-2,,,10
,R3-2,M1-1,,,22
,R6B,R7-2,,,13
,R3-2,R4B,,,5
,C6-2,C8-3,,,2
,C1-9,C1-9A,,,1
,R6B,R4-1,,,317
,R1-1,R1-2,R6,R6A,1
,R7B,R5A,,,6
,C4-1,R3X,,,3
,C4-4D,R6B,,,6
,R2,M3-1,,,1
,R10A,C1-9,R8B,,1
,C8-3,R7-1,,,23
,C4-2A,M1-1,,,6
,C2-8A,R9A,,,1
,R7A,R8B,R8A,,1
,C5-2A,R7-1,,,1
,R3-2,R4B,R3X,,1
,C1-7,C1-8X,,,1
,R3-2,C3,,,2
,R3X,R1-2,R6A,,1
,R1-1,R2,,,13
,C4-5X,R6A,R7X,,1
,R8B,C2-8,,,18
,C4-4,R8,,,15
,R4A,R6B,,,95
,R8B,C1-8A,,,5
,C2-6A,R7B,,,4
,C8-2,R5,,,63
,R2,R6,,,6
,C8-2,R6B,,,2
,C5-2,C6-3,C2-8,,1
,C4-5X,R6,,,1
,R3-2,C4-1,,,2
,C5-3,R10,C6-6,,1
,C6-2,M1-1,,,1
,C6-1,C1-7,,,3
,C4-3A,R6A,,,2
,R7-1,R2,,,5
,C6-3X,M1-6,,,4
,R5B,R5D,,,85
,R9,R8B,,,1
,R7-2,C1-8X,,,3
,R5B,R3X,,,58
,R4,C8-1,,,43
,C4-4A,R6B,,,14
,R3-1,R1-2,,,9
,R5D,C4-3,,,6
,R5,R4,R6B,,1
,C1-8,R8,,,2
,R6B,R4B,,,20
,C4-4D,R7B,,,1
,M1-1,M1-2,,,12
,R6,R5A,,,30
,C4-4A,C4-7,,,2
,R2A,R4,R3A,,1
,R6B,R6A,,,348
,R8B,R4-1,R4,,1
,R8B,C2-8A,,,4
,R5B,R4,R2,,1
,R7-1,R7A,,,4
,M3-1,M1-1,,,25
,R4,R1-2A,,,2
,R2,M1-1,,,3
,R1-2,R3-1,,,3
C4-2,R3X,,,,2
,R6B,R6A,R7A,,1
,C8-1,R2,,,4
,R8B,C6-4A,,,1
,C6-3X,C1-9A,,,1
,C4-4,C8-2,R7D,,1
,R9,R7-2,,,5
,C4-3,R5B,,,3
,R3-2,C4-2,,,11
,R5B,C4-2A,C4-3,,1
,C6-9,C5-5,,,1
,C8-1,R4-1,,,8
,M1-1,R6A,,,21
,R7A,R7D,R8A,,1
R3-2,R3X,R3-1,,,2
,R4,C4-2,,,5
R3-2,R4,,,,1
,R7A,R8X,,,10
R3-2,R3-1,,,,46
,R6B,R4,R5,,3
,C6-1,M1-1,C4-4A,R7A,1
,R4-1,R3-1,,,1
,R4,M1-2,,,1
,R7A,R1-2,,,10
,C8-2,M1-1,,,1
,C6-2,C6-4,,,4
,C1-7A,C6-3,,,1
,R3X,R5D,,,8
,C4-6A,R8,,,13
,C6-4A,C5-2,,,1
,C4-5A,C6-2A,,,2
,R8,M1-2,,,4
,C4-5D,R6B,,,11
,M1-5,M1-5/R7X,,,1
,R7D,C4-4,,,1
,R6B,R5B,,,347
,R6,R5B,,,20
,C6-3,C4-4D,,,11
,R4-1,C3,,,8
M3-1,R3-2,,,,6
R3-2,C8-1,,,,3
R3-2,R3X,,,,50
,C6-6,C6-4.5,,,14
,R6A,R3A,,,15
,C6-5,C6-4,,,6
,M1-4/R8A,M1-4/R6A,,,1
,R6B,R5,,,243
,M3-1,M1-2/R6B,,,1
,M1-4/R7A,M1-4,,,5
,C4-4A,R5,,,4
,C8-4,C2-8,,,3
,R5,R6,,,149
,R6B,R3-2,,,15
,R4A,R4A,,,1
,R2A,R4B,,,14
,R3X,R3-2,,,149
,C4-3,C4-3,,,1
,R7B,R5B,R7D,,1
,R7A,R5A,,,12
,R7-1,M1-5,,,23
,C6-4,C6-6,C6-5,,1
,C4-4A,R6A,,,16
R3-1,C8-1,,,,1
,C5-2,C5-3,C5-2.5,,1
,R7B,R3X,,,6
,R2A,R3A,,,17
,R7-1,C8-1,,,3
,C3A,R3-2,,,1
,C4-7,R8,,,3
,R6A,R3A,R3-1,,1
,R7A,R3-2,,,64
,R7-2,M1-5A,,,9
,M1-2,R4,,,1
,R6,R5,,,133
,R7-1,C4-3,,,4
,R3-2,R5D,,,8
,R3A,R3-2,R6,,1
,C3A,R3A,,,30
,R5B,M1-1,,,52
,R7A,R2,,,50
,M1-5,C2-8,,,4
,R4B,R6A,,,3
,R7-1,R1-2,,,1
,R6,R3A,,,15
,R8X,C6-2A,,,2
,R6,C4-3,,,57
,M1-5,C2-7,,,1
,R4,R5B,,,26
,C4-1,R5,,,1
,M1-2,R7-1,,,3
,C5-2,C6-4,,,2
,M1-2/R5D,M1-2/R5B,,,14
,R5D,R4-1,,,201
,R4B,R3A,,,10
,R5B,R6A,,,94
,C1-6A,C1-7,,,1
,C4-7,C6-2,,,2
,R7-2,C4-5,,,1
,C2-8A,C1-9A,R8B,C1-8A,1
,R8,C4-4,,,21
,R1-2A,R2A,,,2
,R8,C6-3D,,,6
,R7-1,M1-1,,,11
,R5D,R4-1,C8-1,,1
,R5D,C8-1,,,1
,R6,C8-1,,,52
,C6-7,C6-6.5,,,4
,C6-3A,C2-6,,,2
,C4-2,C8-1,,,2
,R8,C4-5,,,1
,R4-1,R5B,,,231
,C4-4A,R6A,R6B,,1
,M1-4/R7A,M1-2,,,1
,M1-6D,C6-2A,,,1
R3A,R3-1,,,,6
,C6-4A,C6-3A,,,2
,M1-2,R8,,,3
,C5-3,R8B,,,2
,C6-2,R7-2,,,2
,C5-3,C6-6,,,5
,R4A,C8-1,,,6
R1-1,R1-2,,,,4
,R5,R5A,,,29
,M1-2/R6A,M1-2/R5B,,,10
,M2-1,R4-1,,,1
,C8-1,C4-2,,,1
,C1-9A,C2-8A,R8B,R8A,1
,C3,M1-1,,,5
,C6-6.5,C6-7,,,3
,R9X,R8B,,,9
R1-1,R3-2,,,,4
,R1-2,R2,,,19
,R9A,R8B,C1-9A,,1
,C6-2A,C6-3A,C6-3X,,1
,C1-9,C2-8,,,1
,R8B,C6-6,,,1
R4,R3A,,,,2
,C4-2,R6A,,,1
,R2,R3A,,,14
,C6-4,R8A,,,3
M1-1,R3-2,R2,,,1
,M1-4,R8A,,,11
,R7B,R8,,,8
,R8B,C6-1,,,6
,M2-1,M1-2,,,5
,R3X,R6A,,,56
,R9A,C1-9A,,,2
,R3X,R3A,,,38
,R4-1,R6,M1-1,,1
,C4-3A,R6B,,,31
,R6,C1-6,,,53
,C1-9,R10A,R8B,,3
R6,R3-2,,,,1
,R4B,R5B,,,11
,R6,R8B,,,2
,C5-3,R10,,,2
,R5D,C3,,,2
,C6-2M,C6-2,,,2
,R5,C8-1,R7X,,1
,M1-2,R6B,,,5
,C6-4M,C6-2M,,,5
,R1-2,M1-1,R6,,1
,R3A,R2A,,,8
,R10A,R8,C4-7,,1
,M1-2,R6,,,23
,M1-4/R7A,R5,,,8
,R6,R6B,,,30
M3-1,R3A,,,,2
,M1-5/R7X,M3-1,,,1
,R5A,R5D,,,2
,C4-6A,R10A,,,12
,R5B,R6,,,16
,R5B,R5A,,,16
,M1-4/R7A,R6A,,,7
,R2A,R3X,,,13
,M1-1,R5,,,92
,R7-1,R5,,,67
,R5,R7-1,,,29
,R6A,C4-2,,,9
,R5,M1-1,R4A,,1
,M1-1,M3-1,,,14
,R8A,R6A,R6B,,1
,R4-1,R7X,,,2
,R3A,R5D,,,86
,R2,R6B,,,6
PARK,R1-2,,,,1
,M1-1,C4-4,M3-1,,1
,R7B,R4A,,,10
,M1-5/R7-2,R7A,,,5
,C6-1,M1-5B,,,1
,M1-4,M3-2,,,2
,C6-4X,M1-6,,,17
,M1-1/R7D,R6B,,,1
,C8-1,R3-2,,,20
M2-1,R3-2,,,,23
