zonedist,zoningdistricttype,residfar,commfar,mnffar,facilfar,widestreetfarmax
R6B,Medium-Density Contextual Residence District,2,,,2,
C6-4M,,,,,,
C6-5,Contextual Restricted and General Central Commercial,10,10,,,
C5-5,Restricted Central Commercial,10,15,,,
C4-5,Non-Contextual General Commercial ,3.44,3.4,,6.5,
M1-1D,,,,,,
C6-6,Contextual Restricted and General Central Commercial,10,15,,,
C8-4,General Service,,5,,,
C2-6,Local Retail and Service,3.44,2,,6.5,
M1-3/R7X,Medium-Density Contextual Residence District,5,,5,5,
PARK,,,,,,
C1-8,Local Retail and Service,7.52,2,,,
M1-4/R8A,Medium-Density Contextual Residence District,6.02,,2,6.5,
R7-3,,,,,,
R9A,High-Density Contextual Residence District,7.52,,,7.5,
C1-8X,Local Retail and Service,9,2,,9,
C1-9,Local Retail and Service,10,2,,,
R3-1,,0.5,,,1,
C5-2.5,,,,,,
R7-1,High-Density Non-Contextual Residence District,3.44,,,4.8,
C4-4A,Contextual General Commercial,4,4,,4,
M1-2/R6B,Medium-Density Contextual Residence District,2,,2,2,
M1-3,,,,5,,
M1-1,,,,1,,
M1-5A,,,,,,
M1-4/R7X,Medium-Density Contextual Residence District,5,,2,5,
R1-1,,0.5,,,1,
C4-6A,Contextual General Commercial,10,3.4,,10,
R8,High-Density Non-Contextual Residence District,6.02,,,6.5,
C8-3,General Service,,2,,,
C7,Commercial Amusement,,2,,,
M1-1/R7D,Medium-Density Contextual Residence District,4.2,,1,4.2,
C5-5,Restricted Central Commercial,10,4,,10,
M1-2/R5B,,1.35,,2,2,
C5-1A,,,,,,
M2-1,,,,2,,
R7-2,High-Density Non-Contextual Residence District,3.44,,,6.5,
C2-7,Local Retail and Service,7.52,2,,,
C2-7A,Local Retail and Service,7.52,2,,7.5,
M1-2/R6A,Medium-Density Contextual Residence District										,3,,2,3,
M1-5/R10,High-Density Non-Contextual Residence District,10,,5,10,
C4-3A,Contextual General Commercial,3,3,,3,
M1-4,,,,2,,
M1-4/R6A,Medium-Density Contextual Residence District										,3,,2,3,
C8-1,General Service,,1,,,
C1-7A,Local Retail and Service,6.02,2,,6.5,
R5,,1.25,,,2,
M2-2,,,,5,,
C6-3D,Contextual Restricted and General Central Commercial,,9,,,
R2X,,0.85,,,1,
M1-1/R6A,Medium-Density Contextual Residence District										,3,,1,3,
C6-1A,Contextual Restricted and General Central Commercial,2.43,6,,4.8,
C2-8A,Local Retail and Service,10,2,,10,
C6-3,Contextual Restricted and General Central Commercial,7.52,6,,,
C4-6,Non-Contextual General Commercial ,10,10,,,
M1-5/R7-3,,,,5,,
C3,Waterfront Recreation,0.5,0.5,,1,
C4-4D,Contextual General Commercial,6.02,3.4,,6.5,
M1-6,,,,10,,
M1-3/R8,High-Density Non-Contextual Residence District,6.02,,5,6.5,
C6-5.5,,,,,,
C6-7T,,,,,,
C5-2A,Restricted Central Commercial,10,10,,10,
